accession,benchmark_type,Domain,Phylum,Class,Order,Family,Genus,Species,num_seqs,sum_len,min_len,avg_len,max_len,genome_size
RS_GCF_018333375.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus cookii,5245,1675686,24,319.5,2288,5845392
RS_GCF_018966525.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sophorae,5632,1686530,30,299.5,3579,5867720
RS_GCF_020736845.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus farraposensis,4790,1359307,21,283.8,5643,4962427
RS_GCF_021654775.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus azoreducens,6535,2020815,30,309.2,2285,7316152
RS_GCF_022234545.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus piscarius,6493,2189449,22,337.2,4097,7437208
RS_GCF_900099765.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus typhae,5943,1949630,23,328.1,2897,6740451
RS_GCF_900102085.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polysaccharolyticus,5645,1866874,30,330.7,6301,6495147
RS_GCF_900102965.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus jilunlii,6101,2013604,29,330,3503,7032114
RS_GCF_900156375.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus macquariensis,5876,1773247,21,301.8,2517,6263229
RS_GCF_900177425.1,All approaches,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus uliginis,5982,1807129,30,302.1,4052,6452185
GB_GCA_001312325.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus pakistanensis,8223,1314001,20,159.8,1560,5009361
RS_GCF_000772935.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus boronitolerans,4576,1308231,22,285.9,2026,4564150
RS_GCF_001183605.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus xylanilyticus,4880,1378307,30,282.4,3571,5221635
RS_GCF_001186155.3,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus versutus,3312,947586,31,286.1,1739,3330075
RS_GCF_001278945.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus contaminans,3872,1118393,30,288.8,1977,4100313
RS_GCF_001281525.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus macroides,4714,1361578,27,288.8,2971,4866035
RS_GCF_001465795.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus rifietoensis,3473,1011389,30,291.2,1562,3505011
RS_GCF_001465835.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus kocurii,3335,987707,31,296.2,1527,3485580
RS_GCF_001687565.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus antarcticus,3740,1049597,30,280.6,1529,3804624
RS_GCF_001687585.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus halocryophilus,3310,979171,30,295.8,1922,3424893
RS_GCF_001687605.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus plakortidis,3252,939209,31,288.8,1556,3261818
RS_GCF_001687625.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus maritimus,3219,943879,30,293.2,1557,3280721
RS_GCF_001687665.2,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus donghaensis,3162,953416,32,301.5,1849,3319331
RS_GCF_002982115.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus sphaericus,4551,1305401,30,286.8,4036,4681723
RS_GCF_003049525.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus fusiformis,4770,1363810,30,285.9,2466,4796895
RS_GCF_003049575.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus parviboronicapiens,4639,1298286,20,279.9,2188,4752266
RS_GCF_003049665.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus mangiferihumi,5543,1458928,23,263.2,4228,5313213
RS_GCF_003289925.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus maitriensis,3126,920611,29,294.5,1606,3145619
RS_GCF_003289955.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus halotolerans,3603,1038359,30,288.2,2678,3622698
RS_GCF_003367505.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus capsici,4544,1320198,24,290.5,1814,4574203
RS_GCF_003428875.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus okeanokoites,3314,952890,26,287.5,1529,3299170
RS_GCF_003664125.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus citreus,3442,1002467,30,291.2,1556,3429284
RS_GCF_003719725.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus salinus,3253,969592,30,298.1,1529,3335228
RS_GCF_004761975.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus koreensis,3466,1003884,23,289.6,1529,3450322
RS_GCF_007004625.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus salinarum,3241,927833,30,286.3,1529,3287567
RS_GCF_009724685.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus cavernae,4578,1333273,24,291.2,2098,4690315
RS_GCF_020071995.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus chinensis,3817,1124746,27,294.7,1633,3869245
RS_GCF_022819085.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus ruber,3366,995863,30,295.9,1674,3371367
RS_GCF_900099655.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus glaciei,3840,1134453,26,295.4,1606,3917616
GB_GCA_000283635.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus,2149,609619,30,283.7,7961,2142762
GB_GCA_024346585.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus toyakuensis,1964,608079,30,309.6,4908,2055023
GB_GCA_900637675.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equi,2303,636342,30,276.3,3976,2253416
RS_GCF_000148585.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,1736,554869,30,319.6,4325,1868883
RS_GCF_000154985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius,1961,561628,26,286.4,3126,1925187
RS_GCF_000164675.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,1982,631092,30,318.4,3019,2153652
RS_GCF_000186445.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,2127,623042,25,292.9,1999,2287892
RS_GCF_000186465.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,1996,621700,30,311.5,3080,2129953
RS_GCF_000187265.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equinus,1711,499804,21,292.1,1642,1741734
RS_GCF_000187465.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantis,1862,555203,25,298.2,2862,1905984
RS_GCF_000187585.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus peroris,1606,489734,34,304.9,2279,1639920
RS_GCF_000187935.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,2129,633500,30,297.6,2832,2164480
RS_GCF_000187975.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus criceti,2185,664576,30,304.2,1872,2418558
RS_GCF_000187995.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macacae,1799,548512,30,304.9,2370,1916985
RS_GCF_000188015.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ictaluri,2471,658372,30,266.4,1466,2234402
RS_GCF_000188035.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pseudoporcinus,1988,618436,30,311.1,2157,2126865
RS_GCF_000188055.2,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus urinalis,2210,634462,31,287.1,2146,2130431
RS_GCF_000188295.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus vestibularis,1806,523709,30,290,2513,1872773
RS_GCF_000194945.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,2180,680399,30,312.1,3494,2280483
RS_GCF_000222765.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus,1898,580033,23,305.6,2958,1994424
RS_GCF_000286075.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ratti,1948,595805,32,305.9,1506,2062017
RS_GCF_000294495.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,1858,578202,30,311.2,2103,1980887
RS_GCF_000372425.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ferus,1821,556727,32,305.7,2198,1847340
RS_GCF_000376985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus henryi,2334,702408,22,300.9,2274,2422509
RS_GCF_000377005.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus minor,1913,575663,26,300.9,2154,1927889
RS_GCF_000379985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus caballi,2121,608036,24,286.7,2910,2122044
RS_GCF_000380005.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus didelphis,1803,554427,23,307.5,1653,1877438
RS_GCF_000380025.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus entericus,2023,597523,25,295.4,3609,2036468
RS_GCF_000380045.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus marimammalium,1437,446578,27,310.8,3316,1505444
RS_GCF_000380065.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus massiliensis,1929,557233,24,288.9,2784,1864153
RS_GCF_000380085.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus merionis,2151,660994,30,307.3,2034,2357340
RS_GCF_000380105.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus orisratti,2351,686860,28,292.2,2163,2416134
RS_GCF_000380125.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ovis,2370,705390,30,297.6,3207,2358538
RS_GCF_000380145.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thoraltensis,2210,653582,30,295.7,2320,2385218
RS_GCF_000413475.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,1875,569244,31,303.6,2223,1951449
RS_GCF_000420785.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyovaginalis,2059,598645,26,290.7,2274,2077809
RS_GCF_000423725.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus devriesei,2024,617742,30,305.2,1559,2121372
RS_GCF_000423745.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus plurextorum,2088,623073,22,298.4,3670,2103464
RS_GCF_000423765.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus porci,2302,672689,28,292.2,2423,2290936
RS_GCF_000425025.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus castoreus,1824,534428,27,293,1466,1883536
RS_GCF_000479335.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ilei,1862,587704,34,315.6,3279,1992567
RS_GCF_000686605.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sobrinus,2045,592936,30,289.9,1591,2138493
RS_GCF_000739975.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,2024,595246,24,294.1,1678,2028352
RS_GCF_000767835.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sinensis,1982,605168,25,305.3,3151,2061843
RS_GCF_000785515.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,1992,639673,30,321.1,4308,2188923
RS_GCF_001302265.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus phocae,1719,496025,21,288.6,1467,1700082
RS_GCF_001431045.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus orisasini,2146,668328,27,311.4,3131,2299160
RS_GCF_001457635.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,2091,603024,30,288.4,2234,2110968
RS_GCF_001553855.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii,2091,644216,23,308.1,3647,2166763
RS_GCF_001591705.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus cremoris,2510,671899,22,267.7,1823,2344093
RS_GCF_001598035.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus halotolerans,1955,602468,31,308.2,3308,2182100
RS_GCF_001623565.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus marmotae,2260,666557,30,294.9,2720,2322791
RS_GCF_001642085.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pantholopis,2018,615851,31,305.2,3131,2241302
RS_GCF_001708305.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus himalayensis,2105,654838,30,311.1,6312,2275471
RS_GCF_001885095.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus bovimastitidis,2063,620743,31,300.9,2774,2075036
RS_GCF_001921825.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus acidominimus,2110,624975,25,296.2,4471,2285094
RS_GCF_001921845.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cuniculi,2020,615144,26,304.5,2635,2094853
RS_GCF_001984715.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus azizii,2022,647464,23,320.2,4402,2340839
RS_GCF_002000985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gallolyticus,2418,727740,30,301,2279,2492900
RS_GCF_002055535.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,1899,549014,30,289.1,2060,1914862
RS_GCF_002087075.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pseudopneumoniae,2199,621037,27,282.4,2400,2172620
RS_GCF_002096675.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dentisani,1726,551348,36,319.4,2781,1834212
RS_GCF_002154895.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus petauri,2305,710250,27,308.1,3358,2397176
RS_GCF_002355215.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus troglodytae,2091,589015,30,281.7,1506,2097874
RS_GCF_002441655.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus fujiensis,2053,609584,22,296.9,3565,2075869
RS_GCF_002887775.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus penaeicida,2155,600745,26,278.8,2118,2051969
RS_GCF_002953735.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pluranimalium,2009,595110,31,296.2,4379,2065522
RS_GCF_003086355.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus chenjunshii,2243,673890,30,300.4,3131,2443046
RS_GCF_003116835.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus termiticola,1675,507169,24,302.8,1967,1734781
RS_GCF_003595525.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus respiraculi,1939,599870,30,309.4,3775,2067971
RS_GCF_003609975.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ruminantium,1898,595009,30,313.5,3171,2090539
RS_GCF_003627095.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus allomyrinae,2652,772360,30,291.2,2744,2758410
RS_GCF_003674745.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus iniae,1912,592695,24,310,2090,1991323
RS_GCF_003686955.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hillyeri,2063,615175,20,298.2,2197,2147614
RS_GCF_004353325.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus downii,1864,571763,33,306.7,2548,1922750
RS_GCF_004785935.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus rubneri,1983,639170,30,322.3,4639,2160087
RS_GCF_004843545.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pasteurianus,2054,607604,30,295.8,3986,2149841
RS_GCF_006739205.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,1889,576414,30,305.1,1646,2018796
RS_GCF_006965445.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus protaetiae,2682,720108,30,268.5,1796,2696018
RS_GCF_007859195.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pharyngis,1490,457991,21,307.4,2237,1511423
RS_GCF_009601015.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus hircilactis,2542,756052,25,297.4,3168,2563666
RS_GCF_009767945.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus danieliae,1906,540724,21,283.7,3353,1855621
RS_GCF_009870755.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus halichoeri,1705,529490,21,310.6,1584,1891345
RS_GCF_010120595.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,2250,591970,30,263.1,1821,2102268
RS_GCF_011421425.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus catagoni,1976,590110,27,298.6,1656,2023804
RS_GCF_012277075.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus alactolyticus,1754,499152,24,284.6,1710,1698167
RS_GCF_012396585.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ovuberis,2310,697395,22,301.9,2715,2467419
RS_GCF_014905395.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus taiwanensis,1855,571395,30,308,1734,1956764
RS_GCF_016461705.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus vicugnae,1877,565355,31,301.2,2217,1906993
RS_GCF_016481285.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus zalophi,1447,479015,38,331,3483,1581094
RS_GCF_016481305.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pacificus,1515,500227,30,330.2,3196,1656080
RS_GCF_016642265.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lactarius,1992,626295,22,314.4,4115,2117087
RS_GCF_016908645.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus loxodontisalivarius,2082,648221,28,311.3,3599,2226923
RS_GCF_016908655.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus saliviloxodontae,1890,597986,28,316.4,2668,2051957
RS_GCF_017883985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oricebi,2048,633273,30,309.2,2866,2141351
RS_GCF_017884005.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus panodentis,2609,792199,25,303.6,3067,2783954
RS_GCF_018137985.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oriscaviae,2143,657163,31,306.7,2522,2197335
RS_GCF_018403745.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus formosensis,2039,625487,26,306.8,2427,2117277
RS_GCF_018403765.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus nasutitermitis,2116,655976,30,310,3185,2189889
RS_GCF_021654455.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasuis,2130,641092,31,301,3130,2197342
RS_GCF_023167545.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus constellatus,1802,555488,35,308.3,2907,1901581
RS_GCF_024170225.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gallinaceus,2076,622381,23,299.8,3102,2055108
RS_GCF_900099625.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,2523,729187,22,289,3169,2514221
RS_GCF_900459175.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus downei,2069,607485,28,293.6,5390,2232110
RS_GCF_900459225.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae,2147,618549,30,288.1,1999,2151704
RS_GCF_900459405.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyointestinalis,2544,749454,32,294.6,3729,2553358
RS_GCF_900475415.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus porcinus,1941,598710,31,308.5,1983,2033046
RS_GCF_900475595.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,1919,586387,30,305.6,4206,1975601
RS_GCF_900475675.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis,1774,511712,30,288.5,1506,1793521
RS_GCF_900636475.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,1869,572448,31,306.3,2907,1953654
RS_GCF_900636575.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus canis,1974,589335,30,298.5,2327,2084744
RS_GCF_900637025.1,All approaches,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,1791,578445,30,323,2882,1931548
GB_GCA_000613465.1,All approaches,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,5080,1658887,22,326.6,2464,5591555
GB_GCA_025146565.1,All approaches,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,3478,1266192,30,364.1,1939,4206509
GB_GCA_025147325.1,All approaches,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,3410,1199770,30,351.8,2048,4007931
